English|پښتو
historiian|مورخ
history|تاريخ
history|داستان
history of something|سابقه
hit|وهل
Hit Time|د ضربي وخت
Hitch|د غوټې کړۍ
hobble|شکېل
hobble|شکېلول
hobby|خوی
hobby|عادت
hockey|هاکي
hod|لوکړ
hod|لوګړ
hoe|څښڅوری
Hoist|اوچتول/ پورته کول
hold|نيول
hold|رانيول
hold mass for deceased|فاتحه اخيستل
hold of the opponent's leg in wretling |لينګته
holder|لرونکی
holding place|نظارت خانه
hole|چوله
hole|ستو
hole|سوری
hole|سوړه
hole|کومبړ
hole|منفذ
hole|کنده
hole|سورى
hole in the roof by way of chimney|زول
holiday|تعطيل
holiday|رخصتي
holiness|تقدس
Holland|هالينډ
hollow|پوچ
hollow|پوچک
hollow|پوڼېدل
hollow|کروېږه
hollow|کوپه
hollow|ګوګ
hollow|ګوګن
hollow|بوس
holy|پاک
holy|مقدس
holy|سپيڅلى
holy|مقصر
holy |بزرګ
holy (full of praises) kuran|مجيد
holy book|مقدس
holy man|مقدس سړی
holy person|پير
holy place|زيارت
holy Quran|فرقان
holy Quran|قران
holy war|غزا
home|کور
home|کورکی
home|مېنه
home|سراي
home made|وطني
home made gun|شلخی
home management|کورمانه
home remedy|کورني دارو
homeland|ملک
homeland|مملکت
homeland|مېنه
homeland|وطن
homeland|ټاټوبي
homeland|د خاپوړو وطن
homeland|ټاټوبى
homeless|بې کوره
homeless|بې وطنه
homeless|بيکوره
hometown|ټاټوبي
homogeneity|تجانس
homogeneous|متجانس
homogeneous|همجنس
homosexual|هم خنس باز
homosexual|خر کونی
Honduras|هانډوراس
hone|باټ
honest|پاکه نفسه
honest|راستکاره
honest|سپين مخی
honest|يومخی
honest|باایمانه
honest|صادق
honest|شريف
honest|صديق
honesty|ديانت
honesty|صادقات
honesty|صديقت
honesty|صداقت
honey|شات
honey|عسل
honey|ګبين
honey|ګبينه
honey dew melon|خټکى
honey moon|ناويت
Hongkong|هانکانګ
honk|مشوړه
honor|افتخار
honor|شرافت
honor|شرف
honor|عزت
honor|کېس
honor|ننګ
honor|ننګه
honor|احترام
honor|غیرت
honor|ناموس
honor|حېثت
honor|وياړنه
honor|وياړ کول
honor|وياړل
honor|وياړ
honor |ننګ او غيرت
honor |پت
honor, females of a family|ناموس
honorable|شريف
honorable|محترم
honorable|ننګيالی
honorable|ننګوني
honorable leader|جناب ريس
honorable person|ننګيالي
honorably|محترمانه
honorary|افتخاري
honorary|اعزازي
honored|مشرف
honored|معزز
honored|معظم
honored|مکرم
honored|معتبر
honourable|ابرومن
honourary|اعزازي
hood|توب
hood|بانټ
Hood|يو ډول خولۍ چې په لباس پورې نښتې وي
hoof|سوه
hook|چنګک
hook|مچک
hook|نوښخ
Hook|چنګک
hookah|چلم
hookah smoker|چلمکښ
Hooligan Tool|د هوليګن اله 
hoopoe|ککوی
hoopoe|ملاچرګک
hop scotch|چندرۍ
hope|اسره
hope|رجا
hope|توقع
hope|خواهيش
hope|هيله
hope|هيله کول
hope|طمع
hope|خل
hope|اميد
hope|آرزو
hope|مامول
hope|ارمان
hope|خواهشات
hope|بار
hopeful|پامته دار
Hopeful|هيله من
hopeful|هيله مند
hopeful|هليه مند
hopeful|اميدوار
hopefully|ګوندی
hopefully|انشااﷲ
hopefully|په خير
hopeless|بې اسرې
hopeless|نااميده
hopeless|نامېنده
hopeless|ناوسه
hopeless|يې هيلې
hopelessness|نااميدي
hopelessness|ناهيله
horizon|افق
horizontal|افقي
hormful|موذي
horn|ارن
horn|ښکر
horn|ښکر(ونه)
hornet|بمبره
hornet|ډمبره
horrorstruck|زاره ترکی
horrorstruck|زاره چاودی
horse|اس
horse|اسپه
horse|ماديانه
horse comb|غشو
horse or donkey dung|خرشين
horse or donkey without a saddle or pad|شاتوری
horse riding|د آس ځغلول
horse tender|اسبون
horse with a jolting pace|ډوبلن
horse with a jolting pace|ډګلن
horse with a white spon the forehead|چرګی
hospetal|شفاخانه
hospitable|ستمن
hospitable|عزتمن
hospitable|مېلمه پال
hospitable|مېلمه پال(ه)
hospital|روغتون
hospital|شفاخانه
hospitality|عذر
hospitality|میلمه پالنه
hospitalized|بستري
hospitalized|بستر 
hospitalized|بستر(ه)
host|مهماندار
host|مېلمه پال
host|پالنه کول
host|کوربه
hostage|يرغمل
hostage|یرغمل
hostage|برمته
hostess|کوربنه
hostess|کوربه
hostile|بدورده
hostile|متخاصم
hostile (aj)|دښمنانه
hostpitality|مېلمه پالنه
hot|تند
hot|تريخ(ترخه)
hot   tempered|مرچکی
hot ashes|پوړنده
hot cake|پراټه
hot cake|ټيکلۍ
hot market|تود بازار
hot or cold pack|ټکور
hotel|هوټل
hotness|تندوالی
hour|بجه
hour|ګېنټه
hour|دا مهال
hour|ساعت
hour|ګړۍ
houri of pardise |حوره
house|اردلی
house|سرای
house|خانه
house|سراي
house|سراى
house|کور
house of representatives|ولسى جرګه
housefly|مچ
housework|د کور چاري
housework|د کور کارونه
hover|په هوا کې د الوتکې  وزر وهنه او ځوړند پاتې کېدل 
how|څرنګه
how|څرې
how|څنګه
how |څښکله
how can it be? |څنګه کېداى شى
how come?|دا څه
how far?|حو لار
how long (time)?|حومره وخت؟
how long will it last?|دا به تر کله دوام وکړى؟
how many?|څونې
how much|څو
how much|څومره
how much|څونه
how much|څونی
how often?|څو ځلي
how old?|څو کلن(ه)
howdy|ښه چاری
however|امه اوس
however|که څه هم
however|مګر
however|اما
Howitzer|اوبوس ( يو ډول لنډکی توپ)
howl|کوله
Hubble bubble|چلم
hubbub|بلغاک
hubbub|ږغ وږوغ
hubbub|شورماشور
hug|په غيږ کې اخيستل
hug|په غيږ کې نيول
hug|غيږ
hug|غېږ
huge|عظيم
huge|ستر
huge |ستر
huge |غټ(ه)
huge |لوی(ه)
hugging|غاړه غړۍ
human|بشري
human|ځانی
human|انسان(يت)
human|بشر
human|انسان
human  |انسان
human (aj)|بشري
human nature|ناسوت
human resource|انسانى نيرو
human rights|بشرى حقوق
human that caused|عاملين
humanbeing|بشر
humanism|بشر دوستي
humanist|بشر دوست
humanist|بشرپال
humanitarian|انساني
humanity|بشريت
humanity|سړيتوب
humanity|انسانيت
humble|اسکېرلی
humble|حليم
humble|غريبانه
humble|متواضع
humble|محقر
humble|هسکېرلی
humble|عاجز
humbleness|نرمى
humbleness|توزو
humbly|په نرمى
humbly|په توازو
humid|نمجن(ه)
humidity|نم
humiliation|تحقير
humiliation|تعجيز
humiliation|سپکه
humiliation|سپکاوى
humility|تواضع
humming|بڼهار
humming|زمزمه
humming|زوږ
humor|ټوکي ټکالي
humorist|ظريف
humorous|ټوقی
humorous|لطيف
humorous story|فکاهي
hump|بوک
hump|بوکان
hump|ګوپ
hump|منډو
humpbacked|شابوتی
humpbacked|شابوکی
humpbacked|شاکوپی
humpbacked|شاکړوپ
humpbacked|کړوپ
hundred|سل
hundreds|سوه
hundreds|سلګونه
hundredth|سلم
hungary|مجارستان
hunger|لوږه
hungry|شوم
hungry|وږی
hunt|ښکار
hunt|ښکارول
hunt|وڼ
hunt|وڼا
hunt|ښکار کول
hunter|ښکاري
hunter|وڼی
hunter|سکاری
hunting|ښکاري
hunting|ښکار
hunting|سکار
hunting place|ښکارغلی
huried of short duration|مستعجل
hurrah|هورا
hurricane|طوفان
hurry|الا
hurry|الا الا
hurry|بېړه
hurry|هله
hurry|هلۍ
hurry|تلوار
hurry|عجله
hurry|وارخطايي
hurry|يادي
hurry|بيړه
hurry|چټکي
hurt|ژوبلول
hurt|خوږېدل
hurt|درد کول
hurt|ژوبل(ه)
hurt|خوږ(ه)
hurt|درديدل
hurt (someone)|خوږول
hurt (someone)|ژوبلول
hurt (someone)|ځوبلول
hurtle|کيشپ
husband|ميړه
husband|خاوند
husband|مېړه
husband|څېښتن
husband|څښتن
husband of sister of one's wife|باجه
husbandry|مالدارى
husbands brothers wife|يور
husbands family|خسرګنۍ
hush money|حق السکوت
husk|چينک کول
husks of grains|څوګل
hustle and bustle|غويمنډ
hustler|ګڼ کپ
hut|جونګړه
hut|څپره
hut|څپرۍ
hut|کوډخه
hut|ګورنډه
hut constructed in a tree for watchman in field|څاله
hyacinth|سنبل
hydrocephalus|سنبل
hydrogen|هيډروجن
Hydrological Data Analysis|د هايدرولوژيکي اطلاعاتو تحليل
hydrology|هيډرولوجي
hyena|کوږ
hyena  fem |کږه
hygiene|حفظ الصحه
hygiene|پاکی
hygiene|سترهګی
hygiene|نظافت
Hygiene Plan|حفظ الصحوي پلان
hyper sensitivity|فرط حساسيت
hypocrisy|ريا
hypocrite|رياکاره
hypocrite|ريالار
hypocritical|منافقانه
hypothecary|رهني
Hypothermia|د حرارت درجه را لوېدل
hypothetically|فرضأ
I|زه
I|
I|زۀ
I swear by God|خدای ږو
I swear by God|والله
I wish|کشکې
i.o.u.|حجت
IAW (In accordance with)| د مطاابقت له مخې
ice|کرل
ice|کرنګ
ice|کنګل
ice|يخی
ice|يخ
ice|يخک
ice|يخي
ice|يخى
ice cream|شيريخ
ice skating|کښندی
ice water|يخاو
icebound|کړنګ
icebox|واوره ڼی
icechest|يخدان
iceskating|يخمالک
ICM (Improved Conventional Munitions)|اصلاح شوي مروج عسکري تجهيزات
ID card|تذکره
ID card|هویت کارت
ID card|د هويت کارت
idea|مفکوره
idea|نظر
idea|فکر
idea|نظريه
idea|اندېښنه(ې)
identification|تشخيص
Identification|هويت
identification (who a person is)|پيژندګاوي
identification card|تذکره
identification card|د تابعيت کارډ
identification card|شناختي کارډ
identify|تشخيصول
identity|شهرت
identity|هويت
ideology|مفکوره
idioms|مصطلحات
idiot|بي عقل
idiot|غول
idiot (little knowledge)|کم عقل
idle|عاطل
idle|لونډه
idle talk|بادبېزي
idle time|فراغت
idler|لټېره
idlo temple|بتخانه
idol|بت
idolater|بت پرست
idolater (sb who devotes himself to statues)|بت پرست
idolatry|بت پرستي
if|که
ifamy|رسوايي
ignite|بلول
Igniter|اور لګونکې يا اور بلونکې واسطه
ignoble|بې اصله
ignorance|بې علمي
ignorance|جهالت
ignorance|جهل
ignorance|ناپوهي
ignorance|ناداني
ignorant|جاهل
ignorant|ناپوه
ignorant|نادان
ignorant|حاهل
ignore|له نظره اچول
ignore (v)|لاس اړول
ill|ناجوړه
ill|ناجوړی
ill|ناسازه
ill|رنځور
ill  speaking|ګويې
ill / sick|ناروغ/ناروغه
ill luck|شامت
illegal|بې اصوله
illegal|غيرقانوني
illegal|غېرقانوني
illegal|ناقانونه
illegal (by Islam)|حرام
ill-fated|په زوال محکوم
illiteracy|بېسوادي
illiteracy|بې سوادي
illiteracy|ناخوهي
illiteracy|بى سوادي
illiteracy|بېسوادى
illiterate|بېسواده
illiterate|ناخوان
illiterate|نالوستی
illiterate|ناسواد
illiterate|بې سواد(ه)
illiterate|ناپوهان
illiterate|نالوستى
illness|ناجوړتيا
illness|ناجوړي
illness|مريضي
illness|ناجوري
illness|ناروغي
illness|بېمارى
illness|ناروغى
illumination|تنوير
Illumination|رڼا / تنوير، ځلا
illustrated|مصور
image|تصوير
image|شکل
image|انخور
imaginary|تصوري
imaginary|فرضي
imaginary|خيالى
imaginary|خيالي
Imaginary Lines|فرضي خطونه
imagination|تخيل
imagination|تصور
imagination|مخيله
imaginative|تخيلي
imagine|تصورول
imagine|تصور کول
imagine|تصور کور
Imam|امام
imam|قايد
imbalanced|بې توله
imitation|تقليد
imitation|تقليدي
imitator|پېرګر
imitator|مقلد
immediate|عاجل
immediate|سمدستى
immediately|دروه
immediately|دستي
immediately|دفعتاٌ
immediately|سمدستي
immediately|سمدلاسه
Immediately|واردواره
immediately|عاجر
immediately|عاجل
immediately|فعلاً
immediately|فوراً
immediately|فی الفور
immediately|سمداسه
immediately|سمدلامه
immediately|سمدستى
immediately after|جوخت
immediately after|سملاسى وروسته
Immersion Foot/Trench Foot|په اوبو يا خندق کې د زيات وخت لپاره د پښو پاتې کېدل
immigrant|جلاوطنه
immigrant|کډوال
immigrant|مهاجر(ين)
immigrant|مهاجر
immigrate|مهاجر کيدل
immigrate|کډه کول
immigration|جلاوطني
immigration  |مهاجرت
immigration office|کډوال تنظيم
Immobilize|بې حرکته کول
immodest|بې حيا
immodest|بې شرمي
immodest|مړسترګی
immodest woman|اشواره
immoral|بداخلاقه
immoral|بداخلاق
immoral|غيراخلاقي
immoral conduct|ګمراهي
immorality|بداخلاقي
immorality|فساد
immune|مصوون
immunize|مجنيوی کول
immunize|وقايه کول
imneloquent|مړخولی
impacience|بې صبري
impacient|بې صبره
impact|اثر
impact|اغېزه
impact|تاثير
Impact Factor|د ضربي قوه
Impaled Object|کښته ننوتلی جسم
impartial|بې طرفه
impartiality|بې طرفي
Impassable|هغه ځای يا لار چې څوک ترينه تېرېدلی نشي
impatient|بې حوصلې
impatient|بې حوصله
imperative|امر
imperative sentences|امريه جملې
impetuous|متهور
implant|نجتل
implement|تطبيق
implement|تطبيق کول
implementation|تطبيق
implementation|اجراآت
Implementation|شوني
implicit|ضمني
Implied Tasks|ضمني دندې
imployment|استخدام
impolite|ارغستلي
impolite|بې نزاکته
import|واردول
import|واردات
import|واردېدل
import|وارد
import|وارد کول
importance|اهمیت
importance|اهمېت
importance|اهميت
important|مهم
important|د پام وړ
important|موهم
important|ارزښت
important|ضرور
important|مهم(ه)
Imported|وارد
imports|واردات
impose|تحميلول
impose|تپل
impose|لګول
imposed|تحميلي
imposible|محال
imposible|ناشونکی
imposible|ناشونی
imposition|تحميل
imposition (by a law)|نفاذ
impossible|ناممکن
impossible|ناشوني
impotent|منجوړا
impotent|مړجوړا
impoverished|خوارځواک
impregnate|بلاربول
impregnate|بلاربېدل
impression|خاطره
imprisoned|زنداني
imprisoned|محبوس
imprisonment|بندي توب
imprisonment|حبس
imprisonment|قيد
improper|نامناسب(ه)
improper|ناوړه
improportional|غير متناسبه
improved seed|اصلاح شوی تخم(ونه)
improvement|اصلاح
improvement|ښه والى
improvement |اصلاح
improvisation|اقتراح
Improvise|له محلي موجودو موادو يا مالزمې څخه بې له تياري نيولو کار اخيستنه 
impudence|بې حيايي
impudence|وقاحت
impudent|رډ
impudent|سمخ
impudsnt|وچ سترګی
impure|ناسره
impure|ناصافه
impurity|غش
in|داخل
in|کښې
in|پکښی
in|په…کې
in|په ... کې
in|کښي
in |کې
in  charge of post or station|تاڼه دار
in a continuous manner|په دوامدار
in a correct way|په رښتينى توګه
in a dignified|په آب او پرده کې
in a dignified way|په آب او پرده کې
in a hurry|وارخطا
in a planned out way|په ډيره پرمختللى توګه
in a safe way|په آب او پرده کې
in a short time|په لنډ وخت کې
in a short time|په لنډ وخت کي
in a true way|په رښتينى توګه
in absence|غايبانه
in accordance with|مطابق
in accordance with…|د...په پيروى
in accordance with…|د...په مطابق
in accordance with…|د...سره سم
in addition|بلکی
in addition|بې له درسه
in addition|علاوه
in addition|له دې سربيره
in addition|همدا رنګه
in addition to|سربېره
in addition to|ترڅنګ
in addition to this|له دې سره سره
in addition to this|پر دې برسېره
in addition to this|علاوه پر دې
in advance|پېشکي
in advance|د وخته
in agreement|په شريکه
in all (comparison)|تر ټولو ...
in an organized manner|په منظمه توګه
in between|خپلمنځي
in case of|د...په صورت کې
in charge|مسول
in charge|سرپرست
in coils|ول ول
in comparison|په پرتله
in comparison|په مقايسه
in connection|په اړه
in connection |په اړه 
in connection to|اړوند
in connection with|اړوند
in control|واکمن
in conversation  |په وینا
in debt|پوروړى
in deep thought|اندېښمن
in exchange|په بدل کې
in exchange|د...په بدل کى
in exchange|په بدل
in exchange for|په مقابل د
in fact|حقوقت
in fact|په حقيقت کې
in fact|اصلاً
in favor of|طرفداره
in favor of|ټرفدار
in front of|و مخ ته
in front of|وړاندي
in front of|د...ته څېرمه
in front of|د...مخ ته
in full swing|ښه په درز کې
in groups|ډله ډله
in honor of…|مناسبت
in jail|بندي
in mind|په ياد
in my case|مورد
in my case|حصه
in opinion|په خيال
in order|نظم
in order to… |تر څو چى
in other words|بلکی
in other words|په بل يبارت
in other words|له بله پلوه
in place of|د...په بدل کى
in principle|اصولاً
in reality|حقوقت
in relation to|اړونډ
in relation to|د… په تړاوو
in relation to this|په دې باره کى
in return|په مقابل کې
In Rushes or Crawling|د ترپلې يا ذحف په شکل
in search|په لټه کي
in secret|په پټه
in service|برحال
in short|خلص
in short|لنډ
in short|لنډه دا چى
in short|لنډيز
in some cases|موارد
in spite of|له… سره سره
in spite of |سره له...
in stacks|کوړۍ کوړۍ
in standing position|په ولاړى توګه
in summary|خلص
in summary|لنډ
in support of|د… په ملاتړ کى
in that case|دغه ډول
in the absence of|پشلا
in the area of |د ... په برخه کې
in the capacity of |په حيث د …
in the capacity of |د ... په توګه
in the hundreds|سلګونو
in the hundreds|سلهاو
in the meantime|په عين حال کې
in the meanwhile|په عين حال کې
in the middle|په منځ کې
in the mourning|سبايي
in the name of|په عنوان
in the name of|په نامه
in the occasion|په ترڅ کې
in the olden days|په پخوا وختو کي
in the open air|په خلاصه فضا کې
in the past|په ورستيو
in the vicinity of|څېرمه
in the works|په پام کې
in this manner|په دې ډول
in this regard|په دې برخه
in this regard|په دى اړه
in this way|پدې لار کې
in this way|ترڅ
in turn|په وار سره
in vain|دل
inadmissible|ناجايز
inadmissible|ناروا
inanimate|بې سا
inappetent|بې اشتها
inappropriate|ناکلال
inappropriate|بد(ه)
inappropriate|ناوړه
inattentive|بې اعتنا
inattentive|لډر
inattentive|ناپامه
inattentiveness|بې فکري
inaugural|افتتاحيه
inauguration|افتتاح
inauguration|پرانيستنه
inauguration|اقتتاح
Inboard Gunners|د الوتکې د ننه د انداخت نفر
inborn|قريحه
incantation|پاړو
incantation|هوده
incapable|ناقابله
inch|انچه
in-charge|موظف(ه)
incident|حادثه
incident|واقعه
incident|پيښه
incident|پیښه
incidental|عارضي
incisors|ثنايا
incite|باټېدل
inclination|ميل
inclination|ميلان
incline|ټيټيدل
incline|ټيټيدنه
inclined|متمايل
include|شاملول
include|شاملو
include|شامل
include, to enroll|شامل کول
included|شاملېدل
included|شامل(ه)
included|داخل
includind|شامل
including|په شمول
including|په ګدون
incluion|شمول
inclusion|تضمن
income|عايداتي
income|عایدات
income|نفقه
income|مفاد
income|عايل
income|عوايد
income|ګټه وټه
income tax|مالیات په عایدات
income tax|د عايداتو ماليه
income(s)|عايد(ات)
incompatibility|منافات
incomplete|ناتمام
incomplete|نامکمل
incomplete|نيم بند
incomplete|نيمګړی
incompleteness|نيمګړتيا
inconciderate|بې لحاظه
inconciderate|بې مخه
inconsistent|بي ثباتي
inconvenience|مزاحمت
inconvenient|نا آرام
inconvenient|نا آرام(ه)
incorrect|نادرست
incorrect|ناسم
incorrect|ناسمه
increase|ډېرول
increase|ډېرېدل
increase|زياتول
increase|زياتېدل
increase|اوچت
increase|زياتيدو
increase|ډيروالی
increase|ډيريدو
increase|زياتوالى
increase from God|برکت
increasing|زیاتیدونکي
increasingly|لاپسې
incredibility |بې باورى
Increment|د زياتوالي يا زياتتوب واحد
increment |زياتوالى
incurred a loss|متضرر
indebted|مديون
indebted|مرهون
indebted|منت بار
indebted|پوروړی
indebted|پوروړى
indecent|رکيک
indecent|ناخوالې
indecent|نادودي
indeed|ريښتيا هم
indentification|هويت
indentify|پېژندل
independence|استقلال
independence|خپلواکي
independence|آزادی
independence|حرين
independence|خپلواکي 
independence|آزادي
independence|خپلواکى
independence |استقلال
independence day|د آزادۍ ورځ
independent|خپلواک
independent|مستقل
independent|خود مختار(ه)
indesent|ناپړيته
index|شاخص
Index|د کتاب په پای کې د نومونو او موضوع ګانو فهرست
index finger|د اشارې ګوټه
Index Finger|د شهادت ګوته
index in a book (arabic)|اعلونونه
India|هند
India|هندوستان
Indian|هندوستاني
Indian|هندي
indication|دلالت
indication|اثر
indication|اشاره
indicator|څرګندوی 
Indicators|نښانې، علامې
indicent|پيښه
indigence|مفلسي
indigent|بې خرڅه
indigent|تش لاسی
indigent|کم خرڅه
indigent|لاس تنګی
indigent|لاس تنګېدل
indigent|لبغړی
indigent|لپوس
indigent|لوټي
indigent|مفلس
indigestion|بدهضمي
indigetin|ماټوره
indignity|سپکاوي
indigo|نيل
indirect|غيرمستقيم
indirect|غير مستقيم
individual|ځانګړی
individual|فرد
individual|فردي
individual|نفر
individual|جدا
individual|ځانګړي
individual|اشخاص
individual (person)|افراد
individual(s)|فرد(افراد)
individual(s)|تن(ه)
individualism|ځانګړتيا
individually|په انفرادي ډول
individuals|افراد
Indo European|هندواروپايي
Indochina|هندوچين
indolent|پرکاله
Induce Vomiting|د خوا ګرزونې  يا استفراق تحريکول
induction|استقراء
Indus|اباسين
industrial|صنعتي
industrial |صنعتي
industries|صنايع
industrious|زحمتکښ
industrious|کارګر
industrious|لايق
industrious|کاريګر(ه)
industry|صنایعو
industry|صنعت
industry workers|صنعت کاران
industry(ies)|صنعت (صنايع/صنعتونه) 
indventurism|ماجراجويي
ineffective|بې اثره
inefficiency|بې کفايتي
inefficient|بې کفايته
ineloquent|بې ژبی
inequality|نابرابري
inertia|عطالت
inexistence|نشتوالى
inexistence|نستي 
inexpensiveness|ارزاني
inexperienced|بې تجربې
infamous|بې حرمته
infamy|افتضا
infamy|رسوايى
Infantry|پلي يا پياده عسکر
Infantry Battalion|پياده کنډک
infect|ګزک کول
infected|اخته
infected|ميکروبي
infected|دوچارئ
infection|عفونت
infection|ګزک
infection|وړجن
infection|ميکروب
infectious|ساري
infectious|مکروبى 
infectious diseases|مکروبي ناروغي
infer by analogy|قياسول
inference|استنباط
inference|استنتاج
inferior|ادنا
inferior|ادنی
inferior variety of rice|وښتې
inferiority|کهتري
infernal|دوږخي
infertility|نه حامله توب
infidel|کافر
infidel|قافر
infidelity|کفر
infidelity|ګمراهي
Infiltrate|نفوذ  کول
infinite|لايتناهي
infinite|نامحدود
infinitive(s)|مصدر(ونه)
inflammation|التهاب
inflammation of the lungs|سکاروی
Inflatable|د باد اخيستو يا پړسېدو وړ
inflated skin for swimming|چمبړی
inflation|تورم
inflation|د پيسى بحران
inflection|تصريف
inflict|ور اړول
inflicted|اوښتي
influence|رسوخ
influence|نفوذ
influence|اثر
influence|تاثير
influence|اغېزه کول
influence|حاکمين لرل
influence|اغيز
influence|مخور
influence |تاثير
influence (a gov't, country, etc)|نفوذ
influence(s)|اثر(ات)
influences|اغيزو
influential|متنقد
influential|اغيزمن
influential|اغيزمند
influential |اغيزمن
influentional|مخور
infored|مستحضر
inform|ابلاغول
inform|ابلاغېدل
inform|خبرول
inform|خبر ورکول
inform (3rd person)|احوال ورکول
informal|غيررسمي
informant|اطلاعات
information|استحضار
information|اطلاع
information|خبرتيا
information|معلومات
information|وقوف
information|خبرداري
information|اطلاعات
information and public relations office|د اطلاعاتو مديريت
informative|معلوماتى
informed|مطلع
informed|واقف
informed|خبر
informer(s)|راپوټچى(ان)
infraction|خلاف
Infrared Equipment|د سري شعاع لاندې شعاع لرونکي تجهيزات
Infrared Radar |د سرې شعاع لاندې شعاع لرونکی رادار
infrastructure|زيربنا
infrastructure|بنيادى بنسټ
infront|پرمخ
infuse|دمېدل
ingorance|جهالت
ingratitude|ناشکري
ingredient|ځز
inguisitive|متجسس
inhabitant of Kandahar|کندهاری
inhabitant of Roh|روهي
inhabited|ابات
inhabited|اباد
inheiritance|ميراث
inherent|ارثی
inherit|په میراث رسېدل
inheritance|وراثت
inherited|ميراته
inherited|ميراثي
inheritence|مېراث
initiation of a bridegroom into the family of the bride|کوزياڼه
Initiation Systems|د پيل کولو يا په کار اچولو سيستمونه
initiative|ابتکار
inject|پيچکاري کول
injection|پېچکاري
injure|خوږول
injure|ټپى کول
injure (someone)|خوږول
injure (someone)|ژوبلول
injure (someone)|ځوبلول
injured|زيانمن
injured|ژوبلېدل
injured|زخمي
injured|ژبول
injured|ټپي
injured|ژوبل(ه)
injured|ټپى
injured|زخمى
injured people|تپيان
injurious|مضر
injury|صدمه
injury|زخم
injury|ژوبل
injustice|بېعدالتي
injustice|تعدي
injustice|ظلم
ink|ورېغ
inkpot|مشواڼی
inkpot|ميشواڼۍ
inlaid with jewels|مرصع
in-law|خېښ
in-law|دوست
in-law|خيښ
in-laws|خورګنی
inn|کاروانسرای
inn|سراى
Innards|د نس د ننه اجزاوي
innate|ارثی
inner|دنننی
inner cell of the grave|ډورۍ
inner niche of the grave|لحد
innocent|بې ګناه
innocent|معصوم
innocent|مظاوم
innocent|عاجز
innocent, impeccable|معصوم
innocent, not guilty|بېګناه
innovation|ابداع
innovation|بدعت
innovation|نوښت
innovation|ابتکار
innovation|ابتکارى
innovative|ابتکاري
inocent|معصوم
inoculation|تلقيح
inorganic|غيرعضوي
inouspiciousness|نحوست
in-person|مخامخ
inqiry form|پوښتنپاڼه
inquiry|گرويږنه
inquiry (farsi)|استضاع
inquisitive|نخولېدل
insatiable|سترګ وږی
insect|حشره
insect|خزنده
insect bite |دحشرو چيچل
insects|حشرات
insecurity|بدامني
insecurity|ناامني
insecurity|ناکراري
insecurity|ناارمي
insecurity|/ناکراري
insensitive|نامعقول/ ...ـه/نامعقوله
insert|منډل
insert|ننه ايستل
insert|د ننه کول
inserted|څوړ
insertion|چخ
Insertion|ننه ايستنه/ ځايونه 
inside|پکښې
inside|دننه
inside|داخل
inside|دننه / په کی / په کشی
inside breast|مش
inside one of a drove of oxen treading corn or wheat|نوی
insight|بصيرت
insignificant|بابېز
insignificant claim|ږغېلوه
insintence|اصرار
insist|اسرار کول
insistence|تاکيد
insistence|ټينګار
Insistence |ټينگار
insistent|مصر
insisting|ټینګار
insolence|کبر
insolence|قبر
insolent|رډ
insoluble|لاينحل
inspection|تفتيش
inspection|معاينه
inspector|پلټونکی
inspector|مفتش
inspector|مفتش(ان)
inspite of|سره سره
instability, destabilization|نه ټينګتيا
instability, inconsistency, indecisiveness, destab|بى ثباتى
install|کيښودل
install|لګېدل
install|نثپول
install|اېښوول
install|اېښودل
install|په مځکی کې درول
install|نصبول
install|نسبول
Installations|ودانۍ او تاسيسات
instalment|قسط
instalment|مته
instance|مورد
Instantaneous Response|سمدستي عکس العمل
instantaneously|سمدلامه
instantly|سمدلامه
Instead|په بدل کى
instead of|د...په بدل کى
instead of|د ..... پر ځاى
instigate|پارول
instigate|لمسول
instigate|وشتول
instigate|نفاق اچول
instigating|اوربلوونکى
instigation|پارېدنه
instigation|لمسه
instigation|لمسون
instigation|تحرکات
instigations|تحريکات
instigations, provocations|لمسونه
instigator|پارونکی
instigator|تفرقه
instillation|تلقين
instillation, inculcation, indoctrination|تلقين
instinct|غريزه
Instinctively|په غريزې يا شعوري توګه
institution|/موسسه
institution|مؤسسه
institutions|مسسات
institutions / facilities|تاسيسات
institutions, facilities|تاسيسات
instruction|رهنمايي
instruction|لارښودنه
instruction|لارښوونه
instruction|معارف
instruction|هدايت
instruction|هدايت (ونه)
instructional|تدريسي
instructional|درسي
instructions|هدايات
instructor|مدرس
instrument|اله
instrument|سرڼۍ
instrument for punching eyelets in a shoe|زربی
instrument for weeding|رمبه
Instrument(s)|آ له / آلې / آلات
instruments|مکال
instruments|الاتي
instruments|پریبور
insufficient|ناکافي/ناکافي
Insulate|جلا کول/ پوښل/ بېلول
insult|توهين
insult|سپکول
insult|وندل
insult|سپکاوي
insult|سپکاوى
insult|تحقير / توهين
insult, humiliation|توهين
insult, light (weight)|سپکي
insulting words|سپکو سپورو
insurance|بيمه
insurance|بیمه
insurance|تضمين
insurance|/بيمه
insure|تامينول
insurgency|ترهګري
insurgency|ياغى توب
insurgency|بغاوت
insurgency|شورش
insurgent|یاغی
insurgent|باغيان
insurgent|ترهګر
Insurgent|ياغى
Insurgent|ياغيان
insurgent|ېاغېان
insurgent  groups|شورشيان
insurgent (s)|ياغی (يان)
Insurgent / Insurgents|ياغى / ياغيان 
insurgents|اورپکي
insurgents|چريکان
insurgents|شورشى
insuring|تامين
